Station Name,Time/Day,Height,Tendency,Flood Class,Recent Data,Scraped,State
Lake Wollumboola,3.45am Fri,0.44,falling,,Plot | Table,2022-10-14 04:30:01.921834+11:00,NSW
Broughton Creek,4.08am Fri,0.29,falling,,Plot | Table,2022-10-14 04:30:01.921834+11:00,NSW
Currarong,3.59am Fri,-0.06,steady,,Plot | Table,2022-10-14 04:30:01.921834+11:00,NSW
Crooked River,Crooked River,Crooked River,Crooked River,Crooked River,Crooked River,2022-10-14 04:30:01.921834+11:00,NSW
Crooked R at Gerroa,3.45am Fri,0.14,falling,,Plot | Table,2022-10-14 04:30:01.921834+11:00,NSW
St Georges Basin,St Georges Basin,St Georges Basin,St Georges Basin,St Georges Basin,St Georges Basin,2022-10-14 04:30:01.921834+11:00,NSW
Currambene Ck at Falls Ck,4.00am Fri,0.46,steady,,Plot | Table,2022-10-14 04:30:01.921834+11:00,NSW
Tomerong Ck at Hawken Rd (AHD),3.57am Fri,0.29^,steady,,Plot | Table,2022-10-14 04:30:01.921834+11:00,NSW
St Georges Basin at Island Pt Rd,3.45am Fri,0.28,steady,below minor,Plot | Table,2022-10-14 04:30:01.921834+11:00,NSW
Jervis Bay at HMAS Creswell,3.46am Fri,0.89,falling,,Plot | Table,2022-10-14 04:30:01.921834+11:00,NSW
Sussex Inlet at Sussex Rd Boat Ramp,4.03am Fri,0.26,falling,below minor,Plot | Table,2022-10-14 04:30:01.921834+11:00,NSW
Ulladulla Coast,Ulladulla Coast,Ulladulla Coast,Ulladulla Coast,Ulladulla Coast,Ulladulla Coast,2022-10-14 04:30:01.921834+11:00,NSW
Lake Conjola,4.01am Fri,0.25,steady,,Plot | Table,2022-10-14 04:30:01.921834+11:00,NSW
Ulladulla Boat Harbour,3.46am Fri,-0.08,rising,,Plot | Table,2022-10-14 04:30:01.921834+11:00,NSW
Millards Creek,3.49am Fri,2.01,steady,,Plot | Table,2022-10-14 04:30:01.921834+11:00,NSW
Burrill Lake,3.17am Fri,0.26,steady,,Plot | Table,2022-10-14 04:30:01.921834+11:00,NSW
Lake Tabourie,3.42am Fri,0.32,steady,,Plot | Table,2022-10-14 04:30:01.921834+11:00,NSW
Clyde River,Clyde River,Clyde River,Clyde River,Clyde River,Clyde River,2022-10-14 04:30:01.921834+11:00,NSW
Clyde R at Brooman,4.00am Fri,1.67,steady,,Plot | Table,2022-10-14 04:30:01.921834+11:00,NSW
HMAS Creswell(Jervis Bay),3.46am Fri,0.89,falling,,Plot | Table,2022-10-14 04:30:01.921834+11:00,NSW
Moruya River,Moruya River,Moruya River,Moruya River,Moruya River,Moruya River,2022-10-14 04:30:01.921834+11:00,NSW
Araluen Ck at Neringla Rd,4.00am Fri,0.80,steady,,Plot | Table,2022-10-14 04:30:01.921834+11:00,NSW
Deua R at Riverview,4.00am Fri,1.70,steady,below minor,Plot | Table,2022-10-14 04:30:01.921834+11:00,NSW
Moruya R at Moruya,3.45am Fri,0.05,falling,below minor,Plot | Table,2022-10-14 04:30:01.921834+11:00,NSW
Tuross River,Tuross River,Tuross River,Tuross River,Tuross River,Tuross River,2022-10-14 04:30:01.921834+11:00,NSW
Tuross R at Tuross Vale,3.30am Fri,0.72,steady,,Plot | Table,2022-10-14 04:30:01.921834+11:00,NSW
Wadbilliga R at Wadbilliga,4.00am Fri,1.25,steady,,Plot | Table,2022-10-14 04:30:01.921834+11:00,NSW
Tuross R D/S Wadbilliga Junct,4.00am Fri,0.89,steady,,Plot | Table,2022-10-14 04:30:01.921834+11:00,NSW
Tuross R at Eurobodalla,4.00am Fri,2.05,steady,,Plot | Table,2022-10-14 04:30:01.921834+11:00,NSW
Wagonga R at Barlows Bay,3.45am Fri,0.08,falling,,Plot | Table,2022-10-14 04:30:01.921834+11:00,NSW
Bega River,Bega River,Bega River,Bega River,Bega River,Bega River,2022-10-14 04:30:01.921834+11:00,NSW
Wallaga Lake at Regatta Pt,3.45am Fri,0.28,steady,,Plot | Table,2022-10-14 04:30:01.921834+11:00,NSW
Bermagui R at Boat Harbour,3.46am Fri,0.45,falling,,Plot | Table,2022-10-14 04:30:01.921834+11:00,NSW
Brogo Dam,4.00am Fri,102.82,steady,,Plot | Table,2022-10-14 04:30:01.921834+11:00,NSW
Brogo R at North Brogo,4.00am Fri,1.58,steady,,Plot | Table,2022-10-14 04:30:01.921834+11:00,NSW
Double Ck near Brogo,4.00am Fri,1.03,steady,,Plot | Table,2022-10-14 04:30:01.921834+11:00,NSW
Brogo R at Angledale,4.00am Fri,1.30,steady,,Plot | Table,2022-10-14 04:30:01.921834+11:00,NSW
Bemboka R at Morans Crossing,4.00am Fri,1.08,steady,,Plot | Table,2022-10-14 04:30:01.921834+11:00,NSW
Tantawangalo Ck at Candelo Damsite,4.00am Fri,0.76,steady,,Plot | Table,2022-10-14 04:30:01.921834+11:00,NSW
Bega R at Kanoona,4.00am Fri,1.79,steady,,Plot | Table,2022-10-14 04:30:01.921834+11:00,NSW
Bega River Entrance,3.30am Fri,0.12,falling,,Plot | Table,2022-10-14 04:30:01.921834+11:00,NSW
Bega R at Bega North,4.00am Fri,1.04,steady,below minor,Plot | Table,2022-10-14 04:30:01.921834+11:00,NSW
Towamba River,Towamba River,Towamba River,Towamba River,Towamba River,Towamba River,2022-10-14 04:30:01.921834+11:00,NSW
Merimbula Lake at Wharf,3.45am Fri,-0.20,falling,,Plot | Table,2022-10-14 04:30:01.921834+11:00,NSW
Pambula R at Lochiel,4.00am Fri,0.86,steady,,Plot | Table,2022-10-14 04:30:01.921834+11:00,NSW
Towamba R at Towamba,4.00am Fri,0.98,steady,,Plot | Table,2022-10-14 04:30:01.921834+11:00,NSW
Eden Boat Harbour,3.46am Fri,0.57,rising,,Plot | Table,2022-10-14 04:30:01.921834+11:00,NSW
Snowy River,Snowy River,Snowy River,Snowy River,Snowy River,Snowy River,2022-10-14 04:30:01.921834+11:00,NSW
Little Plains R at Wellesley,4.00am Fri,0.80,steady,,Plot | Table,2022-10-14 04:30:01.921834+11:00,NSW
Delegate R at Quidong,4.00am Fri,0.77,steady,,Plot | Table,2022-10-14 04:30:01.921834+11:00,NSW
Mclaughlin R at The Hut,2.45am Fri,0.53,steady,,Plot | Table,2022-10-14 04:30:01.921834+11:00,NSW
Snowy R at Burnt Hut Crossing,3.15am Fri,2.17,steady,,Plot | Table,2022-10-14 04:30:01.921834+11:00,NSW
Snowy R at Dalgety Weir,3.00am Fri,1.59,steady,,Plot | Table,2022-10-14 04:30:01.921834+11:00,NSW
Bombala R at Bombala,4.00am Fri,1.24,steady,below minor,Plot | Table,2022-10-14 04:30:01.921834+11:00,NSW
